ensembl_gene	chrom	start	end
HARS	5	140673904	140691537
ZNF383	19	37217926	37248738
DEFB106A	8	7825139	7829053
LIMD1	3	45555394	45686341
AC139491.8	5	176158610	176168367
SLC6A1-AS1	3	11006098	11019224
AC139491.5	5	176119545	176156937
IGHV3-21	CHR_HSCHR14_3_CTG1	106235833	106236365
AC012309.2	19	37128679	37141640
AC008154.1	7	134346071	134350791
AC018804.1	2	130202312	130212628
MIF	22	23894383	23895227
ZNF585B	19	37181579	37218153
SLC6A1	3	10992186	11039247
TCF19	CHR_HSCHR6_MHC_MCF_CTG1	31237108	31242737
DEFB104A	8	7836436	7841242
THAP9-AS1	4	82893009	82900960
AC116407.1	17	32141226	32143135
JMJD7-PLA2G4B	15	41828095	41848155
LINC01220	14	75294404	75298109
AC116407.4	17	32159311	32160371
UBL5P2	17	32227890	32228108
ARGFXP2	17	32150433	32151504
LSM2	CHR_HSCHR6_MHC_QBL_CTG1	31787629	31797209
RFLNB	17	439978	445939
AC139491.6	5	176143078	176156989
AC027584.1	18	55863960	55866550
MIF-AS1	22	23894426	23898930
RHOQP3	2	130212870	130213490
NOC2LP1	2	130229379	130232106
TACC1P1	10	37523011	37544701
SLC2A11	22	23856703	23886309
AC139491.7	5	176063748	176126959
AC020558.1	17	17591428	17610485
AL590762.3	X	71314912	71315879
JDP2	14	75427716	75474111
IGHV3-22	CHR_HSCHR14_3_CTG1	106258533	106258994
AC020558.6	17	17504005	17512266
IGHVII-22-1	CHR_HSCHR14_3_CTG1	106264133	106264397
MTND1P18	10	37600796	37601368
IGHVIII-22-2	CHR_HSCHR14_3_CTG1	106265459	106265486
SACM1L	3	45689056	45745409
IGHV3-23	CHR_HSCHR14_3_CTG1	106269377	106269911
FCAR	CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1	54860626	54876850
AL590762.2	X	71352418	71352988
AC139491.2	5	176143085	176185155
IGHV1-24	CHR_HSCHR14_3_CTG1	106277317	106277814
C6orf47	CHR_HSCHR6_MHC_DBB_CTG1	31640476	31642950
HOMER2P2	CHR_HSCHR14_3_CTG1	106287582	106288428
IGHV3-25	CHR_HSCHR14_3_CTG1	106289800	106290250
C6orf47-AS1	CHR_HSCHR6_MHC_DBB_CTG1	31640507	31642899
MTRNR2L7	10	37601440	37602974
AC010632.1	19	37075113	37078605
ACTL6B	7	100643097	100656448
AC010632.3	19	37024886	37025254
AL031283.3	1	15334166	15335464
AL031283.2	1	15326680	15343876
GHRLOS	3	10285754	10294903
C2orf80	2	208165343	208190030
AC009271.1	18	55893038	56026082
AC006305.3	18	56137573	56150102
AC005696.2	17	2683305	2685088
AC006305.1	18	56003613	56191262
AC027514.2	18	62300036	62300998
AC022384.1	3	10249372	10285796
AC027514.1	18	62245810	62247412
AL132657.1	10	37775371	37784131
RELCH	18	62187255	62310217
IGHVIII-25-1	CHR_HSCHR14_3_CTG1	106294339	106294579
AC009271.2	18	56026388	56029186
AF111167.2	14	75423683	75427741
AL135791.1	10	37857740	37859110
AC006305.2	18	56061109	56063078
SAMD11P1	17	2613284	2613944
IGHV2-26	CHR_HSCHR14_3_CTG1	106302166	106302633
AC245427.2	7	142899365	142900759
AC015799.1	17	2639297	2642418
LINC01905	18	56031830	56135295
FAM197Y9	Y	6256267	6265595
PAFAH1B1	17	2593210	2685615
TATDN2	3	10248023	10281218
OR9Q2	11	58189070	58194053
CALHM3	10	103472804	103479240
ZNF248	10	37776526	37858106
IGHVIII-26-1	CHR_HSCHR14_3_CTG1	106310188	106310437
IGHVII-26-2	CHR_HSCHR14_3_CTG1	106315422	106315746
AP002414.2	18	12073232	12076654
IGHV7-27	CHR_HSCHR14_3_CTG1	106318594	106319007
SRBD1	2	45388680	45612165
OR1S2	11	58203202	58204181
AL158077.2	9	19789179	19894856
OR1S1	11	58212720	58216084
AL121929.1	10	103549075	103550964
NEURL1-AS1	10	103479603	103517393
OR10Q1	11	58227882	58228918
EIF4A2P3	11	58242043	58243097
VIPR1	3	42489299	42537573
NEURL1	10	103493979	103592552
OR10W1	11	58266792	58268260
AC004012.1	7	95471835	95473998
BATF	14	75522455	75547004
EHD4-AS1	15	41921417	41929286
AL356417.3	6	159051674	159121495
AL035530.2	6	158988178	159088114
ENSAP2	14	82692704	82693055
AC015853.3	17	523140	540576
GOLGA6L1	CHR_HSCHR15_1_CTG3	23131736	23140290
LINC02301	14	82642605	82746664
ZSCAN12	6	28378955	28399734
AC123768.4	15	32583612	32584312
AC123768.3	15	32585524	32615158
OR10Q2P	11	58291826	58292765
VPS53	17	508668	721717
OR5BC1P	11	58317637	58318375
DPY19L1P2	7	32812757	32838570
AC123768.2	15	32613733	32615111
DDX39BP2	CHR_HSCHR6_MHC_MANN_CTG1	29988342	29988738
AC018648.1	7	32845394	32846061
ZNF355P	21	13095305	13113790
GOLGA8N	15	32593456	32607310
AL121929.3	10	103573157	103583687
AC102953.1	7	1459937	1464008
AL390198.2	20	25835985	25836832
AC102953.2	7	1464497	1467522
BSNDP1	20	25783553	25783919
AC116165.4	CHR_HSCHR15_1_CTG3	23144031	23147890
FAM182B	20	25762384	25868225
RSPH3	6	158972871	159000187
TRPV5	7	142908101	142933746
AJ239321.1	21	13120244	13120807
CWF19L1	10	100232298	100267680
PAM16	16	4331549	4355607
MYO3B-AS1	2	170332085	170408564
HLA-A	CHR_HSCHR6_MHC_MANN_CTG1	29930208	29934849
LINC01416	18	55881688	55998219
GPN3P1	10	25647570	25648104
AJ239318.1	21	13305152	13314944
LINC01539	18	56083356	56137536
AC135983.2	15	32519848	32536926
Z98949.3	22	25959074	25983526
AC019077.1	4	98251688	98261630
AL022329.3	22	25756318	25756669
Z98949.2	22	26006389	26006532
ARPP19	15	52547045	52569883
AC123768.5	15	32624106	32641615
LILRA5	CHR_HSCHR19LRC_COX2_CTG3_1	54314055	54320118
FAM74A1	9	39371065	39376916
ZNF33BP1	10	37794276	37796109
LINC02256	15	32536047	32587613
MYO18B	22	25742144	26031041
BX005214.2	9	39395737	39397406
BSNDP2	20	25845497	25845862
AL356417.1	6	159094093	159116254
BX005214.1	9	39384506	39405305
TLK2P2	10	37818606	37820982
AL132657.2	10	37791580	37791937
ZSCAN23	6	28431930	28443502
Z99289.2	6	112217640	112219570
TAGAP	6	159034468	159045152
AL356863.1	13	38372856	38373935
POU5F1	CHR_HSCHR6_MHC_MCF_CTG1	31242859	31249234
LINC00437	13	38533343	38545299
MICU3	8	17027238	17122642
PRDX3P3	13	38617419	38617940
LINC00366	13	38567715	38622671
COX11P1	6	28446973	28447807
LAMA4	6	112107931	112254939
AL138921.1	10	100229629	100234398
PHBP9	10	100248271	100249095
KBTBD2	7	32868172	32894131
AC024132.2	4	27133996	27140051
AL627311.1	1	21073639	21073753
RPS15AP6	1	21003550	21003934
AC093107.2	7	135650972	135651416
HSPE1P27	1	21161475	21162081
AC093107.1	7	135660039	135660647
CFAP36	2	55519604	55545879
PIP4P1	14	20457719	20461612
OACYLP	18	58996734	59069338
AC024132.3	4	27262506	27267254
LINC02261	4	27217479	27282225
GALNT10	5	154190730	154420984
AC024132.1	4	27207505	27218404
CRMP1	4	5748084	5893086
LILRA4	CHR_HSCHR19LRC_COX2_CTG3_1	54315894	54346149
AL035530.1	6	159042192	159095823
AP002414.5	18	12081540	12085267
AL158077.1	9	19895800	19895973
AP002414.3	18	12091674	12093141
AL591222.1	9	19926094	19929937
OR2E1P	6	28455648	28456141
AL591222.2	9	19957394	19958147
Z98745.2	6	28476996	28489455
AL591222.3	9	19967239	19967994
AL512635.1	9	20331446	20332277
Z98745.1	6	28489896	28491661
PPP1R10	CHR_HSCHR6_MHC_SSTO_CTG1	30592623	30610835
SUMO2P1	CHR_HSCHR6_MHC_COX_CTG1	29632655	29632938
AC004542.1	22	30977516	30977858
TUG1	22	30969245	30979395
SDHDP1	18	12101997	12102470
FGF7P2	21	13349265	13350648
ANKRD62	18	12093843	12129764
ZG16B	16	2830169	2839585
FAM167A-AS1	8	11368402	11438658
AC007277.1	2	170640374	170695374
GOLGA8EP	CHR_HSCHR15_1_CTG3	23160896	23171217
HMGB1P4	2	170601662	170602228
GPX5	6	28525925	28534952
ERG28	14	75649791	75660876
AF131216.3	8	11345748	11347502
FAM167A	8	11421476	11475908
ANKRD30BP1	21	13384249	13427773
PTP4A3	CHR_HSCHR8_5_CTG7	141391991	141438356
LIMD1-AS1	3	45676369	45689200
AP005264.2	18	12192203	12192934
AP005264.6	18	12199345	12200089
MGAM	CHR_HSCHR7_2_CTG6	142038524	142106747
AP005264.4	18	12200779	12201979
PRSS30P	16	2839568	2842744
GTF2IP5	7	65773620	65802067
AP001429.1	21	37100814	37101343
IFITM4P	CHR_HSCHR6_MHC_DBB_CTG1	29748203	29748623
TGFB3	14	75958099	75982991
AC093582.1	7	65840055	65842396
CXCR2	2	218125289	218137251
MEF2B	19	19145567	19192131
CYB561A3	11	61348745	61362299
HIRAP1	10	25691537	25692323
AC004542.2	22	30976515	30978848
LINC00836	10	25651712	25732935
GPX6	6	28503296	28528215
SLC5A5	19	17871945	17895174
AC040963.1	18	59081911	59085920
AC015849.9	CHR_HSCHR17_7_CTG4	35893707	35911023
TDH	8	11339637	11368452
RPUSD4	11	126202096	126211692
MRPS18B	CHR_HSCHR6_MHC_SSTO_CTG1	30609932	30618618
RPL35P4	7	27269357	27269678
EGFL6	X	13569601	13633575
MROH5	CHR_HSCHR8_5_CTG7	141439731	141455651
AL354751.1	9	92132398	92138629
VASN	16	4371848	4383538
ABCB10P1	CHR_HSCHR15_1_CTG3	23183337	23185517
NFKB2	10	102394110	102402524
GTF2IP2	21	13443373	13489176
VN1R8P	21	13476371	13477263
CFTRP1	20	25919499	25919681
IFT43	14	75902136	76084585
LINC01733	20	25955795	25969288
AC116165.7	CHR_HSCHR15_1_CTG3	23196959	23197164
GLIS2	16	4314761	4339597
TYROBP	19	35904401	35908295
RP9P	7	32916815	32943176
VKORC1L1	7	65873074	65959563
EIF1B	3	40309707	40312424
AC100803.6	CHR_HSCHR8_5_CTG7	141443230	141443856
LRRC37A9P	CHR_HSCHR17_7_CTG4	35912635	35918010
AC012676.1	16	4335870	4337818
RPL30P15	X	13574746	13575066
AC083863.1	7	32951426	32951656
GLIS2-AS1	16	4324667	4328340
MSH5-SAPCD1	CHR_HSCHR6_MHC_MCF_CTG1	31816303	31841147
PRR14L	22	31676256	31750140
HNRNPA1P73	7	27328607	27329534
INTS1	7	1470277	1504389
AP001893.1	11	126208611	126209027
PSMB5	14	23016543	23035230
EIF1B-AS1	3	40061110	40309698
CORO7	16	4354542	4425705
BUB3	10	123154402	123170467
IGBP1P5	4	27585145	27586144
AL353743.4	9	85753306	85786575
AL353743.2	9	85783668	85805154
LLCFC1	7	142939343	142940865
SDCBP	8	58552924	58582859
MYRIP	3	39808914	40260321
FLVCR2	14	75578620	75663214
HIGD1AP4	2	223398267	223398546
CXCR1	2	218162841	218166962
AC013448.1	2	223498773	223504611
SLC13A4	7	135681237	135729258
LINC01493	11	38646451	38686323
AL132780.4	14	23023083	23024217
AL157791.2	14	39370279	39370756
AC012074.1	2	25369136	25375845
AL157791.1	14	39385404	39387102
ZNF561-AS1	19	9621249	9647203
LINC00475	9	92141298	92160114
PSMB11	14	23042212	23044060
AC021723.1	11	39161453	39161967
MIA2	14	39230231	39388513
AC021723.2	11	39024631	39161638
VIPR1-AS1	3	42506465	42533258
RPL21P33	2	60852260	60852743
LINC01185	2	60823069	60881317
AL078587.1	20	26008791	26010531
RPL32P23	10	6071514	6071918
FAM182A	20	25985210	26086917
ZNF562	19	9641807	9675100
KRT8P20	7	38655205	38656613
PHF2	9	93576584	93679587
AL354751.2	9	92150382	92157445
FAM183BP	7	38685346	38687037
AC021749.1	11	39873782	39874388
LINC02019	3	50669989	50672048
FREM2-AS1	13	38821798	38827570
BORCS8	19	19176903	19192591
AC021820.1	11	40083710	40084517
FREM2	13	38687077	38887131
AL138960.1	13	44369365	44369877
AP003041.1	11	130008586	130009765
AC080100.1	11	40107244	40112599
AL157882.1	9	85756042	85765112
RBM17	10	6089034	6117457
AC116165.6	CHR_HSCHR15_1_CTG3	23229344	23229859
SERP2	13	44373665	44397714
CCKBR	11	6259806	6272127
CTNND2	5	10971836	11904446
FAM180A	7	135728348	135748813
AC087612.1	15	63091085	63110589
ARSE	X	2934521	2968475
ESRP1	8	94641074	94707466
THAP7	22	20999104	21002196
AL450124.1	20	26018832	26020684
AC011442.1	19	11010917	11016011
BSNDP3	20	26071988	26072351
AL078587.2	20	26009792	26011243
NSDHL	X	152830967	152869729
PDCL2	4	55556519	55592245
WDR55	5	140664676	140674124
AP000350.4	22	23862188	23895223
STMP1	7	135662496	135693418
LRRC4C	11	40114203	41459773
AP000350.5	22	23856427	23857039
AP000350.7	22	23865248	23873277
TMEM138	11	61362344	61369509
IMPA1P1	8	81605569	81631134
CDH24	14	23047062	23057538
RPS26P34	8	81627269	81627617
NIPA2P4	8	81617220	81618560
AC091736.1	7	135704537	135704841
SLC10A5P1	8	81634357	81635662
AC007106.2	4	27917753	27943065
AC008521.2	19	33067175	33067433
AC090720.1	11	40444371	40513269
AC005005.4	22	31051630	31068327
AC090138.1	11	41394595	41426504
Z98949.1	22	25876854	25903247
TUSC8	13	44400250	44405984
MFAP3	5	154038906	154220478
SMTN	22	31064105	31104757
NUP210	3	13316235	13420322
USP9YP29	Y	23740258	23746693
AC002472.2	22	21002895	21009453
AL035071.2	20	32843128	32854257
RAB9AP1	Y	23751188	23751760
MAPRE1	20	32819954	32850405
P2RX6	22	21009808	21028830
TRAPPC2P9	Y	23762838	23765583
AC010733.2	2	60925909	60931610
OFD1P11Y	Y	23771232	23798150
AL671309.1	9	71804283	71804826
HARS2	5	140691430	140699305
NR2C2AP	19	19201416	19203424
SDHAP2	CHR_HSCHR3_3_CTG3	195658096	195685904
ELOCP9	Y	23808821	23809059
CEMIP2	9	71683366	71816690
REL	2	60881521	60931610
CDY15P	Y	23855522	23857091
TTLL5	14	75633625	75955079
XKRYP4	Y	23917241	23917723
SCN3B	11	123629187	123655244
CR753842.1	CHR_HSCHR6_MHC_DBB_CTG1	31648281	31654629
MUC4	CHR_HSCHR3_3_CTG3	195744429	195789161
GPANK1	CHR_HSCHR6_MHC_DBB_CTG1	31643407	31648462
AC009234.1	2	50620963	50632993
RASA4B	7	102482445	102517781
AC068725.1	2	50324643	50345598
CRYGGP	2	51775258	51775402
DDB1	11	61299451	61342596
AC097463.1	2	51926882	51927362
HNRNPA1P38	CHR_HSCHR8_5_CTG7	141464977	141465933
AC007560.1	2	50829442	50829678
AC007682.1	2	51011777	51016950
AC079304.1	2	51977787	52022435
AC004009.3	7	27380562	27381206
BABAM1	19	17267376	17281249
AC004009.1	7	27361591	27410358
HLA-DRB6	6	32552713	32560022
AL049543.1	6	28587378	28591747
AC004009.2	7	27412164	27412891
ZBED9	6	28570535	28616212
AC120035.1	CHR_HSCHR8_6_CTG1	1160740	1186922
EIF4HP1	7	27458163	27458849
PSMC1P2	7	27461766	27462969
AC242019.1	CHR_HSCHR8_6_CTG1	1247928	1260201
AP001625.3	21	42496539	42497443
AC068733.2	11	6297189	6298606
BORCS8-MEF2B	19	19145569	19192158
RSPH1	21	42472486	42496246
AF188030.1	CHR_HSCHR8_7_CTG1	1604655	1622707
MSN	X	65588377	65741931
LY75	2	159803355	159904756
AC021006.2	11	41660030	41660221
LINC02741	11	41518895	41714492
FKBP9	7	32957404	33006930
MED24	17	40019097	40061215
AC021006.1	11	41538434	41538986
CR936237.1	CHR_HSCHR6_MHC_APD_CTG1	31950783	31951076
HMBOX1-IT1	8	28949676	28955955
HMBOX1	8	28890395	29064764
RPSAP27	2	208208135	208208984
RPS27L	15	63125872	63158021
TPT1P2	2	208214724	208222625
SLC37A1	21	42496008	42581440
EHMT2	CHR_HSCHR6_MHC_APD_CTG1	31946781	31964716
SAP30L-AS1	5	154325568	154445850
AL121929.2	10	103608619	103610050
UBR5	8	102252273	102412759
AC079584.1	2	143799467	143819599
USP9YP13	Y	23919905	23921510
SH3PXD2A-AS1	10	103745966	103755423
MCOLN1	19	7522624	7534009
SH3PXD2A	10	103594027	103855543
HLA-DRB1	6	32578769	32589848
AC008625.1	5	154346042	154347834
LACTB	15	63121833	63142061
HLA-G	CHR_HSCHR6_MHC_SSTO_CTG1	29824463	29828635
EVC	4	5711201	5814305
AC015853.1	17	552566	553417
AC027455.1	17	616002	616595
RPS4XP17	17	656794	657547
AC015853.2	17	503171	511347
CSNK2B	CHR_HSCHR6_MHC_DBB_CTG1	31647414	31654525
AC009275.1	7	134368737	134432534
AL121932.1	6	28633381	28633594
AC020907.6	19	35106510	35124297
SLC7A4	22	21028718	21032840
AL121932.2	6	28634861	28649538
AC020907.1	19	35090930	35113664
CD302	2	159768628	159798255
LINC00533	6	28648286	28649066
KEL	7	142941114	142962363
UNC79	14	93333219	93707876
RPSAP2	6	28732017	28732904
RFXANK	19	19192229	19201869
NCOR1P1	20	26103416	26114028
FAM114A2	5	153990148	154038936
FXYD3	19	35115879	35124324
NOP56P1	6	28783633	28784004
AC134915.1	2	130245971	130248770
AL391119.1	20	26132887	26134198
ANKRD44-IT1	2	197250858	197302519
MED15P5	2	130251568	130252559
MTND1P29	2	130270440	130272272
HNRNPA3P15	2	197014990	197016015
AC002472.1	22	21031354	21044117
MTND2P22	2	130272479	130273511
AC002472.3	22	21011384	21014217
MTCO1P7	2	130273908	130275449
ANKRD44	2	196967017	197311173
THAP7-AS1	22	21001886	21010342
MTCO2P7	2	130275592	130276257
MTATP6P7	2	130276507	130277187
OR4K11P	21	13544210	13545185
MTCO3P7	2	130277184	130277957
AC008878.2	19	7533595	7540059
SNX19P1	21	13525599	13528579
LINC01674	21	13516107	13574999
P2RX6P	22	21035243	21045017
AC009961.4	2	159797288	159798043
MARCH7	2	159712457	159771027
TUBA3FP	22	21008193	21014292
AC068137.3	2	130278036	130278376
AC068137.4	2	130278444	130278739
HERC2	CHR_HSCHR15_1_CTG8	28320122	28322152
AL163193.1	9	20532552	20533339
MTND4P27	2	130278757	130280110
MLLT3	9	20341669	20622518
AC069148.1	2	202032770	202033537
MTND5P29	2	130280299	130282105
MTND6P8	2	130282085	130282606
MTCYBP8	2	130282679	130283329
PNPLA6	19	7534004	7561764
AP001625.1	21	42508624	42509661
AP001625.2	21	42560374	42561934
SPAG11A	8	7847876	7868867
AL035071.1	20	32856621	32858751
GPATCH1	19	33080899	33130542
RING1	CHR_HSCHR6_MHC_QBL_CTG1	33137310	33141537
AL121904.2	20	26135983	26188191
AL121904.1	20	26188408	26196891
IER3IP1	18	47152834	47176364
MIR663AHG	20	26167817	26251546
AC012254.3	18	47105946	47108062
AC012254.2	18	47108188	47176345
SMARCB1	CHR_HSCHR22_1_CTG7	23786963	23834516
PCDH15	10	53802771	55627942
IGHV4-28	CHR_HSCHR14_3_CTG1	106325025	106325531
RPL21P129	19	7750684	7751161
GTSF1L	20	43726164	43727002
AC245166.1	CHR_HSCHR14_3_CTG1	106331887	106332323
TSPY11P	Y	6266593	6269275
AC012254.4	18	47137018	47137290
AC008015.1	14	76013679	76014143
IGHV3-30	CHR_HSCHR14_3_CTG1	106335853	106336384
LINC01728	20	43894720	43895468
Z99289.3	6	112234165	112234758
AC007182.1	14	75574888	75579588
AL365214.3	6	112236806	112350094
NANOGP9	X	65772741	65773632
AC006335.2	Y	6273579	6274065
HDHD2	18	47107408	47150500
TLX1	10	101131300	101137789
AF107885.1	14	75838157	75839114
HLA-DMB	CHR_HSCHR6_MHC_COX_CTG1	32856943	32875441
IGHVII-30-1	CHR_HSCHR14_3_CTG1	106343495	106343726
IGHV3-30-2	CHR_HSCHR14_3_CTG1	106345166	106345604
RFPL4B	6	112347330	112351294
AL133355.1	10	103877374	103879761
AF107885.2	14	75814502	75847698
TSPY19P	Y	6303957	6305074
ANKRD34B	5	80556755	80570280
TGFB3-AS1	14	75970924	75971587
AC234301.4	CHR_HSCHR14_3_CTG1	106350054	106350526
AC007182.2	14	75595805	75596206
STN1	10	103877569	103918184
Z99289.1	6	112154765	112166476
OR5B19P	11	58343737	58344664
AC006335.1	Y	6306042	6308202
AC234301.6	CHR_HSCHR14_3_CTG1	106355443	106355479
TLX1NB	10	101089321	101131126
ASB4	7	95478444	95540233
PSORS1C3	CHR_HSCHR6_MHC_MCF_CTG1	31252275	31256445
AL365214.1	6	112325753	112326749
AL365214.2	6	112236093	112307009
RPL7L1P3	7	75922755	75923443
IGHV3-29	CHR_HSCHR14_3_CTG1	106356982	106357409
IGHV3-33	CHR_HSCHR14_3_CTG1	106359784	106360304
ZNF70P1	CHR_HSCHR6_MHC_QBL_CTG1	33144520	33145143
TMEM120A	7	75986831	75994656
HCG27	CHR_HSCHR6_MHC_MCF_CTG1	31276325	31282581
CR759815.1	CHR_HSCHR6_MHC_MCF_CTG1	31278735	31280532
HSPA1L	CHR_HSCHR6_MHC_QBL_CTG1	31799855	31805300
AC234301.2	CHR_HSCHR14_3_CTG1	106369091	106369528
RPS29P11	4	25678850	25679020
SLC5A6	2	27199587	27212958
AC068137.1	2	130293822	130294405
OR5B10P	11	58348989	58349630
RBMY2GP	Y	6328052	6343323
AC108449.2	8	29055935	29056685
AP000435.1	11	58354004	58354499
AC068137.2	2	130313934	130314411
AC092436.2	4	25686202	25686458
AC234301.1	CHR_HSCHR14_3_CTG1	106373990	106374420
PTPN2P2	13	30553670	30554693
OR5B17	11	58358124	58359069
FBXW11	5	171861549	172006873
AL157392.4	10	13675646	13675990
AC132479.1	2	130330142	130330285
AC234301.5	CHR_HSCHR14_3_CTG1	106380821	106381287
DLGAP2	CHR_HSCHR8_7_CTG1	1627028	1708042
AL157392.5	10	13610047	13655929
MTND4P9	4	25718082	25719745
AC002451.2	7	95542145	95544542
AL353648.1	13	30466117	30482312
AC234301.3	CHR_HSCHR14_3_CTG1	106384472	106384925
OR5B1P	11	58365836	58366763
RBM22P2	13	30539597	30543461
RPL6P24	10	13591460	13592323
MTND4LP22	4	25719755	25720030
IGHVII-33-1	CHR_HSCHR14_3_CTG1	106392066	106392345
IGHV3-33-2	CHR_HSCHR14_3_CTG1	106393788	106394227
MTND3P5	4	25720099	25720431
HMGB1	13	30456704	30617597
AL157392.2	10	13729383	13756200
LINC00280	Y	6357219	6369921
MTCO3P44	4	25720516	25721056
DERL3	CHR_HSCHR22_1_CTG7	23834503	23839128
AL157392.3	10	13631143	13668445
IGHV4-34	CHR_HSCHR14_3_CTG1	106398342	106398826
BRD2	CHR_HSCHR6_MHC_COX_CTG1	32890988	32903839
OR9A2	7	143026158	143027195
KMT5B	11	68154863	68213828
AC002451.1	7	95545191	95615132
OR9P1P	7	143047213	143047580
AC005005.3	22	31082156	31083565
SRRM1P3	X	136976417	136985705
CWC22	2	179944876	180007297
ATP5MC2P3	2	197263111	197263535
AC013264.1	2	197197991	197199273
AL390879.1	X	136909369	137022143
OR6V1	7	143052320	143053347
AF188030.2	CHR_HSCHR8_7_CTG1	1729770	1731018
ELOBP2	11	130032866	130033220
AP003059.1	11	86703099	86714092
BEND3P2	9	92171241	92173494
AC017035.1	2	197028711	197030143
PPA2	4	105369077	105474067
AP003041.2	11	130040365	130041071
OR6W1P	7	143062330	143063585
AP003059.2	11	86727355	86765467
PRSS47	9	92177235	92191156
RPS29P8	2	148595158	148595328
HCG4P8	CHR_HSCHR6_MHC_SSTO_CTG1	29824881	29825861
AC027124.2	3	13460294	13460398
COX8C	14	93347182	93348356
RPL22P23	X	136947748	136948133
AC009961.2	2	159812234	159814009
PDK4	7	95583499	95596516
IGHV7-34-1	CHR_HSCHR14_3_CTG1	106401981	106402414
WWC1	5	168291651	168472303
LY75-CD302	2	159771851	159904710
PIP	7	143132077	143139739
AL122023.1	14	93334528	93335057
AC100810.5	CHR_HSCHR8_7_CTG1	1757770	1760009
TTTY3B	Y	23936727	23941622
AC100810.4	CHR_HSCHR8_7_CTG1	1761552	1764146
USP9YP11	Y	23934953	23940101
TTTY21B	Y	6443434	6450685
TTTY1B	Y	6390431	6411564
USP9YP12	Y	23945927	23952293
TTTY7	Y	6449468	6457906
SEC11C	18	59139866	59158832
RAB9AP5	Y	23956569	23960218
AC027124.1	3	13460424	13460889
CLN8	CHR_HSCHR8_7_CTG1	1755340	1786132
FZD7	2	202034587	202038445
TRAPPC2P10	Y	23967564	23970694
RPS4XP22	19	9683294	9684073
LY6G5B	CHR_HSCHR6_MHC_DBB_CTG1	31652558	31655955
OR5B15P	11	58387583	58388486
TTTY2B	Y	6406244	6462091
OR5B3	11	58402464	58406874
ZMAT2	5	140698680	140706686
FAM166B	9	35561831	35563899
IGHV3-35	CHR_HSCHR14_3_CTG1	106414071	106414539
OR5B2	11	58421264	58428121
IGHV3-36	CHR_HSCHR14_3_CTG1	106417455	106417912
AC093734.1	7	1508655	1509427
AC091304.8	CHR_HSCHR15_1_CTG8	28332230	28336599
CRABP1	15	78340353	78348225
OR4K12P	21	13581060	13582004
OR5B12	11	58439077	58442758
AC138747.6	CHR_HSCHR15_1_CTG8	28346477	28346643
AC138747.5	CHR_HSCHR15_1_CTG8	28349050	28358014
POLDIP2	17	28346633	28357527
AP003557.2	11	58491773	58493480
AP005264.5	18	12201982	12223539
MEMO1P4	X	123765301	123765686
AC044781.1	10	13991815	14007526
AP003557.1	11	58497888	58505758
DND1	5	140670794	140673576
PRPF18	10	13586939	13630859
AC011270.2	15	78339208	78341757
AC008438.1	5	140370891	140401460
CHCHD2P1	X	123785009	123785451
IGHV3-37	CHR_HSCHR14_3_CTG1	106421357	106421795
IGHV3-38	CHR_HSCHR14_3_CTG1	106435173	106435702
OR5B21	11	58507175	58508105
IGHVIII-38-1	CHR_HSCHR14_3_CTG1	106442706	106442759
CCDC58P3	18	12211378	12211807
SLC4A9	5	140360194	140375141
MFAP1P1	13	30541643	30542897
IGHV4-39	CHR_HSCHR14_3_CTG1	106446390	106446899
AP005264.3	18	12230411	12231573
AL662890.1	6	28837869	28839006
AL450487.2	X	65786763	65787169
PPIAP56	18	12246589	12247055
IGHV7-40	CHR_HSCHR14_3_CTG1	106450046	106450244
ETF1P3	X	65794345	65795835
USHBP1	19	17249171	17282786
GRSF1	4	70815783	70839897
AC244452.2	CHR_HSCHR14_3_CTG1	106461096	106461236
AL136097.2	9	92205356	92210158
GTDC1	2	143938068	144332568
IGHVII-40-1	CHR_HSCHR14_3_CTG1	106465631	106465688
HPN	19	35040506	35066571
TMEM184A	7	1542235	1560821
IGHV3-41	CHR_HSCHR14_3_CTG1	106467814	106468265
DBIP2	5	80603383	80603644
HOMER2P1	CHR_HSCHR14_3_CTG1	106484773	106485736
IGHV3-42	CHR_HSCHR14_3_CTG1	106487939	106488239
LRFN3	19	35935358	35945767
AC011270.1	15	78382573	78383155
AC005033.1	2	74618856	74620979
HDAC11	3	13479724	13506424
CYB5R2	11	7665100	7677222
GPR101	X	137027447	137033847
TNFAIP1	17	28335602	28347009
M1AP	2	74557883	74648338
AL355309.1	X	137324972	137325049
RPL36AP33	9	35507564	35507873
AL356417.2	6	159165899	159170007
HLA-DQA1	6	32628179	32647062
IGHV3-43	CHR_HSCHR14_3_CTG1	106494944	106495481
RUSC2	9	35490111	35561898
FNDC1	6	159169400	159272108
ATP5F1BP1	2	98206151	98207724
TNFRSF9	1	7915894	7943165
VWA3B	2	98087116	98313299
RAC1P4	X	137441258	137441836
IGHVIII-44	CHR_HSCHR14_3_CTG1	106502901	106503074
PPIAP69	3	50685551	50685791
ZNF652P1	3	50786674	50788285
IGHVIV-44-1	CHR_HSCHR14_3_CTG1	106514026	106514437
IGHVII-44-2	CHR_HSCHR14_3_CTG1	106518815	106519064
DOCK3	3	50674927	51384198
AL035443.1	X	137556191	137564387
AP003108.3	11	61352244	61354477
